Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
GBP/USD,GBPUSD,B,D,5,PC-DAG,VAR+Granger,Causal,0.005853,0.004518,88716.3172,-0.0009
GBP/USD,GBPUSD,B,D,5,PC-DAG,IV-2SLS,Causal,0.00613,0.004684,296952.6674,-0.0993
GBP/USD,GBPUSD,B,D,21,PC-DAG,CausalImpact,Causal,0.005798,0.004466,59002.8599,-0.0028
GBP/USD,GBPUSD,B,D,21,PC-DAG,DML,Causal,0.0063,0.004922,1786639.2968,-0.1575
GBP/USD,GBPUSD,B,D,21,PC-DAG,VAR+Granger,Causal,0.005852,0.004517,68110.9698,-0.0006
GBP/USD,GBPUSD,B,D,21,PC-DAG,IV-2SLS,Causal,0.005966,0.004592,171359.33,-0.0384
USD/JPY,USDJPY,B,D,1,Heuristic-Z,CausalImpact,Causal,0.887002,0.674907,82485373.7438,0.0369
USD/JPY,USDJPY,B,D,1,Heuristic-Z,DML,Causal,0.868747,0.631749,286693849.9854,0.0783
USD/JPY,USDJPY,B,D,1,Heuristic-Z,VAR+Granger,Causal,0.844391,0.616856,244443547.499,0.1273
USD/JPY,USDJPY,B,D,1,Heuristic-Z,IV-2SLS,Causal,0.777073,0.576504,104207840.2947,0.2617
USD/JPY,USDJPY,B,D,5,Heuristic-Z,CausalImpact,Causal,0.920659,0.682584,19121753.1251,-0.0358
USD/JPY,USDJPY,B,D,5,Heuristic-Z,DML,Causal,0.929101,0.693478,215272115.1393,-0.0542
USD/JPY,USDJPY,B,D,5,Heuristic-Z,VAR+Granger,Causal,0.897504,0.669855,20451704.0632,0.014
USD/JPY,USDJPY,B,D,5,Heuristic-Z,IV-2SLS,Causal,0.907023,0.677956,56464838.8545,-0.0047
USD/JPY,USDJPY,B,D,21,Heuristic-Z,CausalImpact,Causal,0.919804,0.681982,15196645.3928,-0.0289
USD/JPY,USDJPY,B,D,21,Heuristic-Z,DML,Causal,0.930687,0.69021,98862067.9892,-0.0567
USD/JPY,USDJPY,B,D,21,Heuristic-Z,VAR+Granger,Causal,0.904196,0.673866,6108715.6315,-0.0007
USD/JPY,USDJPY,B,D,21,Heuristic-Z,IV-2SLS,Causal,0.909221,0.676007,15686979.7807,-0.0095
USD/JPY,USDJPY,B,D,1,Expert-DAG,CausalImpact,Causal,0.980068,0.730716,227166264.0994,-0.1758
USD/JPY,USDJPY,B,D,1,Expert-DAG,DML,Causal,0.728588,0.535998,153140879.5234,0.3517
USD/JPY,USDJPY,B,D,1,Expert-DAG,VAR+Granger,Causal,0.840031,0.616486,158208278.2963,0.1362
USD/JPY,USDJPY,B,D,1,Expert-DAG,IV-2SLS,Causal,0.777073,0.576504,104207840.2947,0.2617
USD/JPY,USDJPY,B,D,5,Expert-DAG,CausalImpact,Causal,0.904542,0.674951,29795614.8506,0.0002
USD/JPY,USDJPY,B,D,5,Expert-DAG,DML,Causal,0.922728,0.689148,92543177.0843,-0.0398
USD/JPY,USDJPY,B,D,5,Expert-DAG,VAR+Granger,Causal,0.889777,0.665238,43018195.1672,0.0309
USD/JPY,USDJPY,B,D,5,Expert-DAG,IV-2SLS,Causal,0.907023,0.677956,56464838.8545,-0.0047
USD/JPY,USDJPY,B,D,21,Expert-DAG,CausalImpact,Causal,0.906575,0.67441,14488312.2305,0.0005
